condition,logit_lens,probe,alpha_0.0,alpha_0.3,alpha_0.5,alpha_0.7,alpha_1.0
onehot,0.0188,0.0201,0.0300,0.0200,0.0200,0.0200,0.0200
random-0,0.0142,0.0165,0.0300,0.0200,0.0200,0.0200,0.0200
random-1,0.0159,0.0153,0.0300,0.0200,0.0200,0.0200,0.0200
random-2,0.0138,0.0153,0.0300,0.0250,0.0200,0.0200,0.0150
random-3,0.0145,0.0165,0.0300,0.0200,0.0200,0.0200,0.0200
random-4,0.0149,0.0177,0.0300,0.0250,0.0200,0.0200,0.0200
grokked,1.0000,1.0000,0.0300,0.1300,0.6600,0.9900,1.0000
