condition,logit_lens,probe,alpha_0.0,alpha_0.3,alpha_0.5,alpha_0.7,alpha_1.0
onehot,0.0000,0.0000,0.2350,0.0200,0.0000,0.0000,0.0000
random-0,0.0000,0.0000,0.2350,0.1600,0.0700,0.0150,0.0000
random-1,0.0000,0.0000,0.2350,0.1600,0.1000,0.0250,0.0000
random-2,0.0000,0.0000,0.2350,0.1550,0.0950,0.0150,0.0000
random-3,0.0000,0.0000,0.2350,0.1650,0.0900,0.0150,0.0000
random-4,0.0000,0.0000,0.2350,0.1750,0.1050,0.0250,0.0000
grokked,1.0000,1.0000,0.2350,0.4900,0.7050,0.9950,1.0000
