epoch,train_loss,train_acc,val_acc
1,5.640774250030518,0.007136350031942129,0.057031527161598206
500,0.000566153263207525,1.0,1.0
1000,0.00024833972565829754,1.0,1.0
1500,0.00014264856872614473,1.0,1.0
2000,9.268904250347987e-05,1.0,1.0
2500,6.454205140471458e-05,1.0,1.0
3000,4.693755545304157e-05,1.0,1.0
3500,3.515173011692241e-05,1.0,1.0
4000,2.6876417905441485e-05,1.0,1.0
4500,2.0864248654106632e-05,1.0,1.0
5000,1.6389447409892455e-05,1.0,1.0
