epoch,train_loss,train_acc,val_acc
1,5.518183708190918,0.025204980745911598,0.09245483577251434
500,0.0005334151792339981,1.0,1.0
1000,0.0002367261186009273,1.0,1.0
1500,0.0001365510543109849,1.0,1.0
2000,8.890287426766008e-05,1.0,1.0
2500,6.197698530741036e-05,1.0,1.0
3000,4.510561120696366e-05,1.0,1.0
3500,3.380130146979354e-05,1.0,1.0
4000,2.5856546926661395e-05,1.0,1.0
4500,2.008281444432214e-05,1.0,1.0
5000,1.5780764442752115e-05,1.0,1.0
