epoch,train_loss,train_acc,val_acc
1,4.573949337005615,0.013969025574624538,0.07297201454639435
500,2.777888298034668,0.954904317855835,0.9496989250183105
1000,1.5735317468643188,0.9948375225067139,0.9932695627212524
1500,0.8644654750823975,0.9996963143348694,1.0
2000,0.49762582778930664,0.9998481869697571,1.0
2500,0.3092869222164154,0.9998481869697571,1.0
3000,0.20538203418254852,0.9998481869697571,1.0
3500,0.1432536244392395,0.9998481869697571,1.0
4000,0.1035284474492073,1.0,1.0
4500,0.07676976919174194,1.0,1.0
5000,0.058013368397951126,1.0,1.0
