epoch,train_loss,train_acc,val_acc
1,4.575024127960205,0.014728211797773838,0.048529934138059616
500,2.778398036956787,0.9558153748512268,0.9496989250183105
1000,1.5738714933395386,0.994685709476471,0.9932695627212524
1500,0.8646872043609619,0.9996963143348694,1.0
2000,0.49775636196136475,0.9998481869697571,1.0
2500,0.3093647360801697,0.9998481869697571,1.0
3000,0.20543116331100464,0.9998481869697571,1.0
3500,0.14328640699386597,0.9998481869697571,1.0
4000,0.10355128347873688,1.0,1.0
4500,0.07678624242544174,1.0,1.0
5000,0.05802556499838829,1.0,1.0
