epoch,train_loss,train_acc,val_acc
1,4.575100898742676,0.00592165207490325,0.051718030124902725
500,2.7785110473632812,0.9555116891860962,0.950761616230011
1000,1.573915958404541,0.9948375225067139,0.9932695627212524
1500,0.8646931648254395,0.9996963143348694,1.0
2000,0.49775224924087524,0.9998481869697571,1.0
2500,0.30935966968536377,0.9998481869697571,1.0
3000,0.2054271697998047,0.9998481869697571,1.0
3500,0.14328362047672272,0.9998481869697571,1.0
4000,0.10354938358068466,1.0,1.0
4500,0.07678496092557907,1.0,1.0
5000,0.05802469700574875,1.0,1.0
