epoch,train_loss,train_acc,val_acc
1,4.574405670166016,0.015335559844970703,0.0882040411233902
500,2.7779576778411865,0.9553598761558533,0.9500531554222107
1000,1.573522686958313,0.9948375225067139,0.9932695627212524
1500,0.864460289478302,0.9996963143348694,1.0
2000,0.49763023853302,0.9998481869697571,1.0
2500,0.30929285287857056,0.9998481869697571,1.0
3000,0.20538732409477234,0.9998481869697571,1.0
3500,0.14325790107250214,0.9998481869697571,1.0
4000,0.1035318523645401,1.0,1.0
4500,0.07677246630191803,1.0,1.0
5000,0.058015525341033936,1.0,1.0
