epoch,train_loss,train_acc,val_acc
1,4.574946403503418,0.002581232925876975,0.03577754274010658
500,2.778373956680298,0.9552080035209656,0.9500531554222107
1000,1.5738332271575928,0.9948375225067139,0.9929153323173523
1500,0.864664614200592,0.9996963143348694,1.0
2000,0.49774572253227234,0.9998481869697571,1.0
2500,0.3093591034412384,0.9998481869697571,1.0
3000,0.20542769134044647,0.9998481869697571,1.0
3500,0.14328399300575256,0.9998481869697571,1.0
4000,0.10354949533939362,1.0,1.0
4500,0.07678486406803131,1.0,1.0
5000,0.05802448093891144,1.0,1.0
